"cbsa_code","cbsa_title","state_fips_list","n_states","multi_state_metro"
"34900","Napa, CA","06",1,FALSE
"34940","Naples-Marco Island, FL","12",1,FALSE
"34980","Nashville-Davidson--Murfreesboro--Franklin, TN","47",1,FALSE
"35020","Natchez, MS-LA","22;28",2,TRUE
"35060","Natchitoches, LA","22",1,FALSE
"35100","New Bern, NC","37",1,FALSE
"35140","Newberry, SC","45",1,FALSE
"35220","New Castle, IN","18",1,FALSE
"35300","New Haven, CT","09",1,FALSE
"35340","New Iberia, LA","22",1,FALSE
"35380","New Orleans-Metairie, LA","22",1,FALSE
"35420","New Philadelphia-Dover, OH","39",1,FALSE
"35440","Newport, OR","41",1,FALSE
"35460","Newport, TN","47",1,FALSE
"35580","New Ulm, MN","27",1,FALSE
"35620","New York-Newark-Jersey City, NY-NJ","34;36",2,TRUE
"35660","Niles, MI","26",1,FALSE
"35700","Nogales, AZ","04",1,FALSE
"35740","Norfolk, NE","31",1,FALSE
"35820","North Platte, NE","31",1,FALSE
"35840","North Port-Bradenton-Sarasota, FL","12",1,FALSE
"35900","North Wilkesboro, NC","37",1,FALSE
"35940","Norwalk, OH","39",1,FALSE
"35980","Norwich-New London-Willimantic, CT","09",1,FALSE
"36020","Oak Harbor, WA","53",1,FALSE
"36100","Ocala, FL","12",1,FALSE
"36180","Ocean Pines, MD","24",1,FALSE
"36220","Odessa, TX","48",1,FALSE
"36260","Ogden, UT","49",1,FALSE
"36340","Oil City, PA","42",1,FALSE
"36380","Okeechobee, FL","12",1,FALSE
"36420","Oklahoma City, OK","40",1,FALSE
"36460","Olean, NY","36",1,FALSE
"36500","Olympia-Lacey-Tumwater, WA","53",1,FALSE
"36540","Omaha, NE-IA","19;31",2,TRUE
"36580","Oneonta, NY","36",1,FALSE
"36620","Ontario, OR-ID","16;41",2,TRUE
"36660","Opelousas, LA","22",1,FALSE
"36700","Orangeburg, SC","45",1,FALSE
"36740","Orlando-Kissimmee-Sanford, FL","12",1,FALSE
"36780","Oshkosh-Neenah, WI","55",1,FALSE
"36820","Oskaloosa, IA","19",1,FALSE
"36830","Othello, WA","53",1,FALSE
"36837","Ottawa, IL","17",1,FALSE
"36840","Ottawa, KS","20",1,FALSE
"36900","Ottumwa, IA","19",1,FALSE
"36940","Owatonna, MN","27",1,FALSE
"36980","Owensboro, KY","21",1,FALSE
"37020","Owosso, MI","26",1,FALSE
"37060","Oxford, MS","28",1,FALSE
"37100","Oxnard-Thousand Oaks-Ventura, CA","06",1,FALSE
"37120","Ozark, AL","01",1,FALSE
"37140","Paducah, KY-IL","17;21",2,TRUE
"37220","Pahrump, NV","32",1,FALSE
"37260","Palatka, FL","12",1,FALSE
"37300","Palestine, TX","48",1,FALSE
"37340","Palm Bay-Melbourne-Titusville, FL","12",1,FALSE
"37420","Pampa, TX","48",1,FALSE
"37460","Panama City-Panama City Beach, FL","12",1,FALSE
"37500","Paragould, AR","05",1,FALSE
"37540","Paris, TN","47",1,FALSE
"37580","Paris, TX","48",1,FALSE
"37620","Parkersburg-Vienna, WV","54",1,FALSE
"37740","Payson, AZ","04",1,FALSE
"37800","Pella, IA","19",1,FALSE
"37860","Pensacola-Ferry Pass-Brent, FL","12",1,FALSE
"37900","Peoria, IL","17",1,FALSE
"37940","Peru, IN","18",1,FALSE
"37950","Petoskey, MI","26",1,FALSE
"37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10;24;34;42",4,TRUE
"38060","Phoenix-Mesa-Chandler, AZ","04",1,FALSE
"38100","Picayune, MS","28",1,FALSE
"38180","Pierre, SD","46",1,FALSE
"38210","Pikeville, KY","21",1,FALSE
"38220","Pine Bluff, AR","05",1,FALSE
"38240","Pinehurst-Southern Pines, NC","37",1,FALSE
"38260","Pittsburg, KS","20",1,FALSE
"38300","Pittsburgh, PA","42",1,FALSE
"38340","Pittsfield, MA","25",1,FALSE
"38380","Plainview, TX","48",1,FALSE
"38420","Platteville, WI","55",1,FALSE
"38460","Plattsburgh, NY","36",1,FALSE
"38500","Plymouth, IN","18",1,FALSE
"38540","Pocatello, ID","16",1,FALSE
"38620","Ponca City, OK","40",1,FALSE
"38660","Ponce, PR","72",1,FALSE
"38700","Pontiac, IL","17",1,FALSE
"38740","Poplar Bluff, MO","29",1,FALSE
"38820","Port Angeles, WA","53",1,FALSE
"38860","Portland-South Portland, ME","23",1,FALSE
"38900","Portland-Vancouver-Hillsboro, OR-WA","41;53",2,TRUE
"38920","Port Lavaca, TX","48",1,FALSE
"38940","Port St. Lucie, FL","12",1,FALSE
"39020","Portsmouth, OH","39",1,FALSE
"39040","Port Townsend, WA","53",1,FALSE
"39060","Pottsville, PA","42",1,FALSE
"39150","Prescott Valley-Prescott, AZ","04",1,FALSE
"39220","Price, UT","49",1,FALSE
"39300","Providence-Warwick, RI-MA","25;44",2,TRUE
"39340","Provo-Orem-Lehi, UT","49",1,FALSE
"39380","Pueblo, CO","08",1,FALSE
"39420","Pullman, WA","53",1,FALSE
"39460","Punta Gorda, FL","12",1,FALSE
"39480","Putnam, CT","09",1,FALSE
"39500","Quincy, IL-MO","17;29",2,TRUE
"39540","Racine-Mount Pleasant, WI","55",1,FALSE
"39580","Raleigh-Cary, NC","37",1,FALSE
"39660","Rapid City, SD","46",1,FALSE
"39700","Raymondville, TX","48",1,FALSE
"39740","Reading, PA","42",1,FALSE
"39780","Red Bluff, CA","06",1,FALSE
"39820","Redding, CA","06",1,FALSE
"39860","Red Wing, MN","27",1,FALSE
"39900","Reno, NV","32",1,FALSE
"39940","Rexburg, ID","16",1,FALSE
"39960","Rice Lake, WI","55",1,FALSE
"39980","Richmond, IN","18",1,FALSE
"40060","Richmond, VA","51",1,FALSE
"40080","Richmond-Berea, KY","21",1,FALSE
"40090","Rifle, CO","08",1,FALSE
"40100","Rio Grande City-Roma, TX","48",1,FALSE
"40140","Riverside-San Bernardino-Ontario, CA","06",1,FALSE
"40180","Riverton, WY","56",1,FALSE
"40220","Roanoke, VA","51",1,FALSE
"40260","Roanoke Rapids, NC","37",1,FALSE
"40300","Rochelle, IL","17",1,FALSE
"40340","Rochester, MN","27",1,FALSE
"40380","Rochester, NY","36",1,FALSE
"40420","Rockford, IL","17",1,FALSE
"40460","Rockingham, NC","37",1,FALSE
"40540","Rock Springs, WY","56",1,FALSE
"40580","Rocky Mount, NC","37",1,FALSE
"40620","Rolla, MO","29",1,FALSE
"40660","Rome, GA","13",1,FALSE
"40700","Roseburg, OR","41",1,FALSE
"40740","Roswell, NM","35",1,FALSE
"40760","Ruidoso, NM","35",1,FALSE
"40770","Russellville, AL","01",1,FALSE
"40780","Russellville, AR","05",1,FALSE
"40820","Ruston, LA","22",1,FALSE
"40860","Rutland, VT","50",1,FALSE
"40900","Sacramento-Roseville-Folsom, CA","06",1,FALSE
"40940","Safford, AZ","04",1,FALSE
"40980","Saginaw, MI","26",1,FALSE
"41060","St. Cloud, MN","27",1,FALSE
"41100","St. George, UT","49",1,FALSE
"41140","St. Joseph, MO-KS","20;29",2,TRUE
"41180","St. Louis, MO-IL","17;29",2,TRUE
"41260","St. Marys, PA","42",1,FALSE
"41400","Salem, OH","39",1,FALSE
"41420","Salem, OR","41",1,FALSE
"41460","Salina, KS","20",1,FALSE
"41500","Salinas, CA","06",1,FALSE
"41540","Salisbury, MD","24",1,FALSE
"41620","Salt Lake City-Murray, UT","49",1,FALSE
"41660","San Angelo, TX","48",1,FALSE
"41700","San Antonio-New Braunfels, TX","48",1,FALSE
"41740","San Diego-Chula Vista-Carlsbad, CA","06",1,FALSE
"41760","Sandpoint, ID","16",1,FALSE
"41780","Sandusky, OH","39",1,FALSE
"41820","Sanford, NC","37",1,FALSE
"41860","San Francisco-Oakland-Fremont, CA","06",1,FALSE
"41940","San Jose-Sunnyvale-Santa Clara, CA","06",1,FALSE
"41980","San Juan-Bayam<U+00F3>n-Caguas, PR","72",1,FALSE
"42020","San Luis Obispo-Paso Robles, CA","06",1,FALSE
"42100","Santa Cruz-Watsonville, CA","06",1,FALSE
"42140","Santa Fe, NM","35",1,FALSE
"42200","Santa Maria-Santa Barbara, CA","06",1,FALSE
"42220","Santa Rosa-Petaluma, CA","06",1,FALSE
"42300","Sault Ste. Marie, MI","26",1,FALSE
"42340","Savannah, GA","13",1,FALSE
"42380","Sayre, PA","42",1,FALSE
"42420","Scottsbluff, NE","31",1,FALSE
"42460","Scottsboro, AL","01",1,FALSE
"42540","Scranton--Wilkes-Barre, PA","42",1,FALSE
"42580","Seaford, DE","10",1,FALSE
"42620","Searcy, AR","05",1,FALSE
"42660","Seattle-Tacoma-Bellevue, WA","53",1,FALSE
"42680","Sebastian-Vero Beach-West Vero Corridor, FL","12",1,FALSE
"42700","Sebring, FL","12",1,FALSE
"42740","Sedalia, MO","29",1,FALSE
"42780","Selinsgrove, PA","42",1,FALSE
"42820","Selma, AL","01",1,FALSE
"42860","Seneca, SC","45",1,FALSE
"42900","Seneca Falls, NY","36",1,FALSE
"42940","Sevierville, TN","47",1,FALSE
"42980","Seymour, IN","18",1,FALSE
"43020","Shawano, WI","55",1,FALSE
"43060","Shawnee, OK","40",1,FALSE
"43100","Sheboygan, WI","55",1,FALSE
"43140","Shelby-Kings Mountain, NC","37",1,FALSE
"43180","Shelbyville, TN","47",1,FALSE
"43220","Shelton, WA","53",1,FALSE
"43260","Sheridan, WY","56",1,FALSE
"43300","Sherman-Denison, TX","48",1,FALSE
"43320","Show Low, AZ","04",1,FALSE
"43340","Shreveport-Bossier City, LA","22",1,FALSE
"43380","Sidney, OH","39",1,FALSE
"43420","Sierra Vista-Douglas, AZ","04",1,FALSE
"43460","Sikeston, MO","29",1,FALSE
"43500","Silver City, NM","35",1,FALSE
"43580","Sioux City, IA-NE-SD","19;31;46",3,TRUE
"43620","Sioux Falls, SD-MN","27;46",2,TRUE
"43640","Slidell-Mandeville-Covington, LA","22",1,FALSE
"43660","Snyder, TX","48",1,FALSE
"43700","Somerset, KY","21",1,FALSE
"43740","Somerset, PA","42",1,FALSE
"43760","Sonora, CA","06",1,FALSE
"43780","South Bend-Mishawaka, IN-MI","18;26",2,TRUE
"43890","Sparta, WI","55",1,FALSE
"43900","Spartanburg, SC","45",1,FALSE
"43940","Spearfish, SD","46",1,FALSE
"43980","Spencer, IA","19",1,FALSE
"44020","Spirit Lake, IA","19",1,FALSE
"44060","Spokane-Spokane Valley, WA","53",1,FALSE
"44100","Springfield, IL","17",1,FALSE
"44140","Springfield, MA","25",1,FALSE
"44180","Springfield, MO","29",1,FALSE
"44220","Springfield, OH","39",1,FALSE
"44260","Starkville, MS","28",1,FALSE
"44300","State College, PA","42",1,FALSE
"44340","Statesboro, GA","13",1,FALSE
"44420","Staunton-Stuarts Draft, VA","51",1,FALSE
"44460","Steamboat Springs, CO","08",1,FALSE
"44500","Stephenville, TX","48",1,FALSE
"44540","Sterling, CO","08",1,FALSE
"44580","Sterling, IL","17",1,FALSE
"44620","Stevens Point-Plover, WI","55",1,FALSE
"44660","Stillwater, OK","40",1,FALSE
"44700","Stockton-Lodi, CA","06",1,FALSE
"44740","Storm Lake, IA","19",1,FALSE
"44780","Sturgis, MI","26",1,FALSE
"44860","Sulphur Springs, TX","48",1,FALSE
"44900","Summerville, GA","13",1,FALSE
"44940","Sumter, SC","45",1,FALSE
"44980","Sunbury, PA","42",1,FALSE
"45000","Susanville, CA","06",1,FALSE
"45020","Sweetwater, TX","48",1,FALSE
"45060","Syracuse, NY","36",1,FALSE
